pytanie,odpowiedz
Gdzie mogę zakupić meble marki FORTE?,Meble FORTE sprzedawane są przez sieć partnerską w ponad 1000 salonów meblowych na terenie całej Polski. Pełną listę punktów sprzedaży można znaleźć na naszej stronie internetowej w zakładce 'Gdzie kupić'.
Czy meble FORTE muszą być mocowane do ściany?,"Tak, dla bezpieczeństwa użytkowników (szczególnie dzieci) większość wysokich mebli, takich jak komody, regały czy szafy, posiada w zestawie specjalne okucia przeznaczone do montażu ściennego. Kategorycznie zalecamy ich użycie zgodnie z załączoną instrukcją."
Gdzie można kupić meble?,Produkty firmy Szynaka Meble można kupić w ponad 350 salonach meblowych w całej Polsce. Sklep znajdujący się najbliżej Twojego miejsca zamieszkania znajdziesz w zakładce „Gdzie kupić?”.
"Czy meble dostępne w ofercie są zmontowane, czy sprzedawane w paczkach do samodzielnego montażu?","Firma posiada w swojej ofercie zarówno meble zmontowane, jak i bryły przeznaczone do samodzielnego montażu. Przy interesujących Cię bryłach znajdziesz piktogramy zawierające tę informację."
Czy można zamówić mebel w innych kolorach niż jest on przedstawiony na zdjęciu?,"W opisie produktu na stronie internetowej zawarta jest szczegółowa informacja, w jakich wybarwieniach kolorystycznych dostępny jest dany produkt."
Jak dobrać odpowiednią tkaninę obiciową do mebli tapicerowanych?,"W ofercie posiadamy szeroki wybór tkanin podzielonych na grupy cenowe. Udostępniamy tkaniny o właściwościach hydrofobowych (Water Blocked), łatwoczyszczące (Easy Clean) oraz przyjazne zwierzętom (Pet Friendly). Szczegóły techniczne i wzorniki dostępne są w salonach partnerskich."
Jak określić stronę narożnika przy zamówieniu?,"Stronę narożnika (prawą lub lewą) określamy, stając przodem do mebla. Jeśli krótsza część z szezlongiem znajduje się po Twojej prawej stronie, jest to narożnik prawy; jeśli po lewej - lewy."
Z jakich materiałów wykonane są stelaże mebli Adriana?,"Stelaże naszych mebli premium produkowane są z litego drewna liściastego (głównie bukowego) oraz wysokiej jakości sklejki, co zapewnia im wieloletnią trwałość i stabilność strukturalną."
Gdzie znajdę instrukcję montażu mebli?,"Instrukcje montażu w wersji papierowej są zawsze dołączone do paczek z elementami meblowymi. Jeśli instrukcja zaginęła, wersję cyfrową PDF można pobrać bezpośrednio ze strony internetowej, wchodząc na kartę konkretnego produktu."
Co zrobić w przypadku braku lub uszkodzenia elementu w paczce?,"Wszelkie braki okuć lub uszkodzenia elementów należy zgłosić za pośrednictwem formularza reklamacyjnego na stronie lub mailowo na adres infolinia@meblewojcik.pl, podając numer paczki i oznaczenie elementu z instrukcji montażu."
