shop,source_url,question,answer,question_index,panel_id,position
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy można gdzieś zobaczyć meble przed dostawą/usiąść na nich?,"Niestety, nie posiadamy stacjonarnych salonów sprzedaży.",1,ac-0,accordion[1]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,"Czy jest możliwość modyfikacji mebla (zmiana wymiarów, koloru)?","Niestety, nie produkujemy mebli na wymiar. W wybranych modelach mebli można konfigurować dostępne parametry.",2,ac-1,accordion[2]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Gdzie znajdę instrukcję montażu?,"Instrukcje montażu naszych mebli otrzymasz w smsie informującym o etapie realizacji Twojego zamówienia. Znajdziesz je też na stronie naszego sklepu, w produktach w zakładce Instrukcje.",3,ac-2,accordion[3]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jakie są wymiary paczek?,"Wymiary paczek zależne są od wybranego mebla. Jeśli potrzebujesz takiej informacji, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",4,ac-3,accordion[4]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Mebel będzie dostarczany w całości czy paczkach do samodzielnego montażu?,"To zależy od wybranego mebla: meble dostarczane są w całości (wybrane sofy, fotele) lub w paczkach do samodzielnego montażu. O szczegółach dowiesz się, kontaktując się z naszym BOK (skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",5,ac-4,accordion[5]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak mogę określić stronę mebla?,"Stronę mebla należy określić, stojąc na wprost mebla. Jeśli wystająca część mebla jest po prawej stronie, wtedy narożnik jest prawostronny. Jeśli jest po lewej stronie - narożnik jest lewostronny.",6,ac-5,accordion[6]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jakie wypełnienie jest bardziej komfortowe?,"""Do wyboru masz wypełnienie piankowe lub sprężyny bonell. Jednym z najczęściej stosowanych wypełnień w branży meblarskiej jest wypełnienie piankowe. Wykorzystywana przez nas pianka to pianka poliuretanowa T30. Wypełnienie to charakteryzuje się jednak ograniczoną odpornością na wygniatanie. Jeśli wiesz, że mebel, który kupujesz będzie intensywnie użytkowany, zalecamy wybór wypełnienia sprężynowego typu bonell. Sprężyny bonell charakteryzują się elastycznością i zdolnością do dopasowania się do kształtu ciała. Zapewniają równomierne wsparcie dla różnych stref ciała, co przekłada się na wyższy poziom komfortu podczas siedzenia lub leżenia. Są też odporne na odkształcenia. Dzięki temu mebel będzie służył przez długi czas, zachowując swój pierwotny kształt i wygodę. Dodatkowo sprężyny bonell charakteryzują się otwartą strukturą, co sprzyja lepszej cyrkulacji powietrza wewnątrz mebla.",7,ac-6,accordion[7]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,"Co to znaczy, że narożnik jest uniwersalny?","Narożnik uniwersalny to produkt, którego stronę określasz podczas pierwszego montażu. To Ty decydujesz, która strona mebla wpasuje się w Twoją przestrzeń. Jednak po dokonaniu pierwszego montażu mebel będzie już posiadał otwory, których nie można usunąć.",8,ac-7,accordion[8]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jaki jest okres gwarancji?,Dajemy naszym Klientom 24 miesiące gwarancji na kupowane meble.,9,ac-8,accordion[9]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak zostaną zwrócone moje środki?,"Zależnie od sposobu, w jaki dokonana została płatność: pobranie - zwrot gotówki, płatność przelewem - zwrot na konto.",10,ac-9,accordion[10]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak długo trzeba czekać na zwrot środków?,"Zwrot środków nastąpi po powrocie mebla do siedziby firmy (zwykle następuje to w ciągu 7-10 dni). Jeśli masz jakieś wątpliwości, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",11,ac-10,accordion[11]
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy mogę zwrócić produkt?,"Oczywiście, w naszym sklepie masz 30 dni na zwrot produktu. W pierwszej kolejności poinformuj nas o chęci odstąpienia od umowy zakupu poprzez wiadomość e-mail na adres kontakt@mebligo.pl. Po otrzymaniu wiadomości odpiszemy najszybciej jak to możliwe, a dział logistyki rozpocznie planowanie terminu odbioru mebla. Jeśli masz jakieś wątpliwości, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",12,ac-11,accordion[12]
