shop,source_url,question,answer,question_index,block_id,position,panel_id
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy mogę wybrać godzinę dostawy? Czy istnieje możliwość dostawy w wybrany dzień?,"Niestety nie mamy możliwości dostarczania przesyłek w godzinach proponowanych przez Klienta. Firmy spedycyjne oraz kurierskie ustalają dzień oraz godzinę doręczenia na podstawie tras logistycznych. Nie jesteśmy w stanie zapewnić, że produkt trafi do Państwa w konkretnym dniu i godzinie.",1,,block[1],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Jaki jest czas dostawy?,"Czas dostawy jest określony przy każdym produkcie. W przypadku zamówienia powyżej 1 sztuki spodziewaj się kilku dostaw, ponieważ bardzo często wychodzą one od różnych producentów i innymi terminami realizacji. Średni czas dostawy przez kuriera to 48h, w przypadku dostawy firmą spedycyjną to 2-3 dni.",3,,block[3],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy przewoźnik skontaktuje się ze mną przed dostawą?,"W przypadku dostawy firmą spedycyjną, przewoźnik podejmie kontakt telefoniczny lub SMS-owy 24h przed dostawą, podczas którego poda przedział godzinowy planowanego doręczenia. Jeśli Twoje zamówienie będzie dostarczał kurier, możesz śledzić status swojej przesyłki na dedykowanej stronie przewoźnika. W dniu wysyłki każdego produktu otrzymasz od nas powiadomienie z numerem przesyłki oraz nazwą przewoźnika, który zrealizuje dostawę.",5,,block[5],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Jaki jest koszt dostawy?,"Jeśli w koszyku masz kilka produktów, nie sumujemy kosztów dostawy. Płacisz tylko raz - najwyższy koszt dostawy spośród wszystkich wybranych produktów. Pełną kwotę zobaczysz w koszyku, zanim przejdziesz do płatności.",7,,block[7],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy kurier wniesie moje zamówienie?,"Kurier nie zawsze ma obowiązek wniesienia zamówionej przez Ciebie przesyłki. Kurier ma obowiązek wniesienia przesyłki jeżeli jej waga nie przekracza 30 kg. Chyba, że została wybrana opcja dostawy z wniesieniem, wówczas przewoźnik wniesie przesyłkę do pierwszego pomieszczenia w lokalu.",9,,block[9],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy przewoźnik wnosi mebel do wybranego pomieszczenia?,Przewoźnik wniesie przesyłkę do pierwszego pomieszczenia w lokalu.,11,,block[11],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy jest możliwość jednej dostawy wszystkich produktów?,"Nasze produkty posiadają różne czasy wysyłki i są wysyłane z różnych magazynów. Jedna dostawa wiąże się z wydłużeniem czasu realizacji oraz zwiększeniem kosztów dostawy. Jeśli zdecydujesz się na to rozwiązanie, skontaktuj się z nami na: biuro@selsey.pl.",13,,block[13],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy jest możliwa wysyłka zagranicę?,"Obecnie zamówienia z polskiego sklepu realizujemy wyłącznie na terenie kraju. Jeśli jesteś z Niemiec, możesz wygodnie złożyć zamówienie w naszym niemieckim sklepie: https://selsey.de/",15,,block[15],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,"Czy muszę założyć konto, aby dokonać zakupu?",Nie. Możesz dokonać zakupu bez rejestracji. Zachęcamy jednak do założenia konta. Na bieżąco będziesz mógł śledzić status realizacji swojego zamówienia.,17,,block[17],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,W jaki sposób mogę anulować swoje zamówienie?,"Jeśli chcesz anulować zamówienie, skontaktuj się z nami, wypełniając formularz lub wysyłając wiadomość email na adres: orders@selsey.pl.",19,,block[19],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Jak mogę sprawdzić status zamówienia?,"Aktualny status zamówienia dostępny jest pod linkiem, który umieszczamy w powiadomieniach do zamówienia. Jeśli pojawią się dodatkowe pytania zachęcamy do kontaktu z nami pod adresem orders@selsey.pl lub na chacie dostępnym na stronie naszego sklepu.",21,,block[21],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,"Czy jest możliwość opóźnienia wysyłki zamówienia? Jeśli tak, to o jaki czas?","Tak, możemy opóźnić wysyłkę Twojego zamówienia, ale maksymalnie o 20 dni kalendarzowych od czasu wysyłki, który podany jest w ofercie. Informacja musi trafić do nas w uwagach do zamówienia. Zamówienia z czasem realizacji 24-48h nie podlegają opóźnieniu wysyłki.",23,,block[23],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,"Co oznacza, że produkt jest w przedsprzedaży?","Oznacza to, że obecnie nie posiadamy na swoim magazynie zapasu tego produktu, ale oczekujemy na dostawę dużej ilości. W związku z produkcją dużej partii produktu terminy wysyłki mogą ulec przesunięciu. Najczęściej zakup w przedsprzedaży wiąże się również z lepszą ceną.",25,,block[25],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Jak mogę złożyć zamówienie?,"Zamówienie możesz złożyć bezpośrednio przez naszą stronę internetową, dodając produkty do koszyka i przechodząc przez proces zamówienia.",27,,block[27],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy oferujecie montaż mebli?,"Tak, przy wybranych produktach oferujemy taką usługę. Informacja o dostępności takiej usługi widoczna jest na karcie produktu.",29,,block[29],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy kolory mebli mogą różnić się od tych na zdjęciach?,"Tak, niewielkie różnice kolorystyczne są możliwe ze względu na ustawienia monitora oraz oświetlenie podczas zdjęć.",31,,block[31],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy wszystkie meble wymagają montażu?,"Większość mebli dostarczana jest w paczkach do samodzielnego montażu, z instrukcją.",33,,block[33],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy oferujecie meble na wymiar?,"Meble oferowane w naszym sklepie są dostępne jedynie w kolorach i rozmiarach podanych na stronie konkretnego produktu. Nie mamy możliwości zmiany rozmiaru, czy wprowadzenia dodatkowych barw. W trosce o powtarzalność i jakość naszych produktów unikamy sprzedaży mebli na wymiar. Służymy natomiast doradztwem, by dopasować rozwiązanie do Twoich indywidualnych potrzeb.",35,,block[35],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy mogę zamówić próbki tkanin?,"Tak, wszystkie oferowane próbki tkanin znajdziesz pod tym linkiem .",37,,block[37],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Czy mogę opłacić zamówienie przy dostawie?,Nie ma możliwości zapłaty za zamówienie przy odbiorze.,39,,block[39],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,"Ile mam czasu na opłacenie zamówienia, zanim zostanie ono anulowane?","Płatność jest wymagana w momencie składania zamówienia. Akceptujemy karty kredytowe, Apple Pay, Google Pay oraz Przelewy24 (w tym BLIK). Jedynym wyjątkiem jest płatność ratalna - w tym przypadku masz 48 godzin na wypełnienie wniosku kredytowego w banku.",41,,block[41],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,W jaki sposób mogę złożyć reklamację?,Reklamację możesz złożyć przez formularz dostępny na naszej stronie lub wysyłając wiadomość na adres: reklamacje@selsey.pl. Opisz proszę dokładnie swój problem i jeśli jest to możliwe załącz zdjęcia. Prosimy nie wyrzucaj opakowań zewnętrznych reklamowanych produktów.,43,,block[43],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Ile mam czasu na zgłoszenie reklamacji?,"Od momentu dostawy produktu, masz 24 miesiące na zgłoszenie reklamacji.",45,,block[45],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,W jakim czasie reklamacje są rozpatrywane?,"Reklamacje rozpatrujemy w terminie do 14 dni kalendarzowych od złożenia stosownego zgłoszenia, zgodnie z obowiązującymi przepisami.",47,,block[47],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,"Kurier poinformował mnie, że przesyłka jest uszkodzona. Co robić?","W takim przypadku nie odbieraj uszkodzonej przesyłki. Jest bardzo prawdopodobne, że jeśli paczka jest zniszczona, produkt znajdujący się wewnątrz również doznał uszkodzeń. Jeśli jednak uważasz, że uszkodzenie paczki nie będzie miało wpływu na stan produktu, możesz przyjąć paczkę. Jednak pamiętaj, by odnotować na protokole dostawy informację o uszkodzeniu opakowania. Dokonaj również oględzin wnętrza paczki przy kurierze, a w przypadku wystąpienia uszkodzeń na produkcie, odnotuj to z kurierem na protokole dostawy.",49,,block[49],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Produkt dotarł uszkodzony. Co mogę zrobić?,"W przypadku odkrycia uszkodzenia mebla po otwarciu paczki, koniecznie skontaktuj się z dostawcą w celu spisania protokołu szkody. Masz na to aż 7 dni od momentu doręczenia przesyłki. Kolejnym krokiem jest kontakt z nami przez formularz kontaktowy lub wysyłając wiadomość na nasz adres: reklamacje@selsey.pl.",51,,block[51],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,"Otrzymałem produkt inny, niż zamawiałem, co robić?","Nie rozpoczynaj użytkowania ani nie montuj produktu. Tak szybko jak to możliwe wypełnij nasz formularz reklamacyjny. Pamiętaj, aby dołączyć do niego zdjęcie etykiety otrzymanego produktu. Pozwoli nam to sprawniej zweryfikować pomyłkę.",53,,block[53],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,W jaki sposób mogę zgłosić chęć zwrotu produktu?,"Chęć zwrotu możesz zgłosić przez, formularz dostępny na naszej stronie lub wysyłając wiadomość na adres: reklamacje@selsey.pl. Szczegółowe informacje dotyczące procedury zwrotu znajdziesz w zakładce Reklamacje i zwroty.",55,,block[55],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Jaki mam czas na odstąpienie od umowy i zwrot produktu?,Standardowo masz 14 dni kalendarzowych na zwrot produktu od momentu jego dostawy. Jeżeli jesteś subskrybentem naszego newslettera czas na zwrot od momentu dostawy wydłuża się do 60 dni.,57,,block[57],
Selsey,https://selsey.pl/pages/pytania-i-odpowiedzi,Kiedy otrzymam zwrot pieniędzy za zwrócony przedmiot?,Zwrot środków realizowany jest do 14 dni kalendarzowych od momentu dostarczenia produktu na magazyn Sprzedającego.,59,,block[59],
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Czy można gdzieś zobaczyć meble przed dostawą/usiąść na nich?,"Niestety, nie posiadamy stacjonarnych salonów sprzedaży.",1,,accordion[1],ac-0
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,"Czy jest możliwość modyfikacji mebla (zmiana wymiarów, koloru)?","Niestety, nie produkujemy mebli na wymiar. W wybranych modelach mebli można konfigurować dostępne parametry.",2,,accordion[2],ac-1
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Gdzie znajdę instrukcję montażu?,"Instrukcje montażu naszych mebli otrzymasz w smsie informującym o etapie realizacji Twojego zamówienia. Znajdziesz je też na stronie naszego sklepu, w produktach w zakładce Instrukcje.",3,,accordion[3],ac-2
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jakie są wymiary paczek?,"Wymiary paczek zależne są od wybranego mebla. Jeśli potrzebujesz takiej informacji, skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",4,,accordion[4],ac-3
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Mebel będzie dostarczany w całości czy paczkach do samodzielnego montażu?,"To zależy od wybranego mebla: meble dostarczane są w całości (wybrane sofy, fotele) lub w paczkach do samodzielnego montażu. O szczegółach dowiesz się, kontaktując się z naszym BOK (skontaktuj się z nami (e-mail: kontakt@mebligo.pl, telefon: +48 455 455 044).",5,,accordion[5],ac-4
Mebligo,https://mebligo.pl/content/9-najczesciej-zadawane-pytania-faq,Jak mogę określić stronę mebla?,"Stronę mebla należy określić, stojąc na wprost mebla. Jeśli wystająca część mebla jest po prawej stronie, wtedy narożnik jest prawostronny. Jeśli jest po lewej stronie - narożnik jest lewostronny.",6,,accordion[6],ac-5
